phenosite,fluxsite,lat,lon,elev,vegtype,MAT,MAP,primary_wd,zr,hc_low,hc_high,emissivity,start_date,end_date,AMF_doi,AMF_version
turkeypointenf39,CA-TP4,42.710161,-80.357376,184,EN,8,1036,247.5,28,20.3,21.8,0.95,2007-01-01,2017-12-31,10.17190/AMF/1246012,AMF_CA-TP4_BASE_HH_4-5.csv
bouldinalfalfa,US-Bi1,38.0991538,-121.49933,-2.7,AG,16,338,292.5,3.9,-9999,-9999,0.95,2017-01-01,2018-12-31,10.17190/AMF/1480317,AMF_US-Bi1_BASE_HH_2-5.csv
howland1,US-Ho1,45.2041,-68.7402,60,EN,5.27,1070,270,30,20,20,0.95,2010-01-01,2017-12-31,10.17190/AMF/1246061,AMF_US-Ho1_BASE_HH_6-5.csv
oregonMP,US-Me2,44.4523,-121.5574,1253,EN,6.28,523,225,32,14,16.5,0.95,2007-01-01,2018-12-31,10.17190/AMF/1246076,AMF_US-Me2_BASE_HH_9-5.csv
oregonYP,US-Me6,44.3232842,-121.6078,998,EN,7.6,494.34,270,12,5.2,6.51,0.95,2013-01-01,2018-12-31,10.17190/AMF/1246128,AMF_US-Me6_BASE_HH_7-5.csv
morganmonroe,US-MMS,39.3232,-86.4131,275,DB,10.85,1032,202.5,46,27,27,0.93,2008-01-01,2014-12-31,10.17190/AMF/1246080,AMF_US-MMS_BASE_HR_10-5.csv
missouriozarks,US-MOz,38.7441,-92.2,219,DB,12.11,986,180,30,24.2,24.2,0.93,2011-05-01,2015-12-31,10.17190/AMF/1246081,AMF_US-MOz_BASE_HH_7-1.csv
usmpj,US-Mpj,34.4385,-106.2377,2196,EN,10.5,385,247.5,9.33,4.3,4.3,0.94,2009-01-01,2018-12-31,10.17190/AMF/1246123,AMF_US-Mpj_BASE_HH_10-5.csv
mead1,US-Ne1,41.16506,-96.47664,361,AG,10.07,790.37,180,0,0,3.506,0.95,2002-01-01,2018-12-31,10.17190/AMF/1246084,AMF_US-Ne1_BASE_HR_9-5.csv
mead2,US-Ne2,41.16487,-96.4701,362,AG,10.08,788.89,337.5,0,0,3.43,0.95,2002-01-01,2018-12-31,10.17190/AMF/1246085,AMF_US-Ne2_BASE_HR_9-5.csv
mead3,US-Ne3,41.17967,-96.43965,363,AG,10.11,783.68,337.5,0,0,3.05,0.95,2002-01-01,2018-12-31,10.17190/AMF/1246086,AMF_US-Ne3_BASE_HR_9-5.csv
niwot3,US-NR1,40.0329,-105.5464,3050,EN,1.5,800,292.5,21.5,11.4,11.4,0.95,2012-01-01,2018-12-31,10.17190/AMF/1246088,AMF_US-NR1_BASE_HH_12-5.csv
rosemountnprs,US-Ro4,44.6781,-93.0723,274,AG,6.4,879,292.5,2.6,-9999,-9999,0.94,2016-01-01,2018-12-31,10.17190/AMF/1419507,AMF_US-Ro4_BASE_HH_6-5.csv
sevilletashrub,US-Ses,34.335,-106.7445,1603,SH,13.72,275.08,180,3.1,-9999,-9999,0.94,2007-01-01,2018-12-31,10.17190/AMF/1246125,AMF_US-Ses_BASE_HH_10-5.csv
sylvania,US-Syv,46.242,-89.3477,540,DB,3.81,826,225,36,22,27.5,0.93,2014-01-01,2017-12-31,10.17190/AMF/1246106,AMF_US-Syv_BASE_HH_12-5.csv
tonzi,US-Ton,38.4316,-120.966,177,DB,15.8,559,315,23,-9999,-9999,0.93,2014-01-01,2018-12-31,10.17190/AMF/1246111,
twitchellalfalfa,US-Tw3,38.1159,-121.6467,-9,AG,15.6,421,247.5,2.8,-9999,-9999,0.95,2014-04-01,2016-07-31,10.17190/AMF/1246149,AMF_US-Tw3_BASE_HH_5-5.csv
umichbiological,US-UMB,45.5598,-84.7138,234,DB,5.83,803,315,46,21,23,0.93,2010-01-01,2018-12-31,10.17190/AMF/1246107,AMF_US-UMB_BASE_HH_12-5.csv
vaira,US-Var,38.4133,-120.9507,129,GR,15.8,559,247.5,2,0.03,0.59,0.94,2009-01-01,2018-12-31,10.17190/AMF/1245984,AMF_US-Var_BASE_HH_11-5.csv
willowcreek,US-WCr,45.8059,-90.0799,520,DB,4.02,787,247.5,29.6,22,24.3,0.93,2014-01-01,2017-12-31,,AMF_US-WCr_BASE_HH_15-5.csv
luckyhills,US-Whs,31.7438,-110.0522,1370,SH,17.6,320,225,6.5,0.05,0.22,0.94,2007-01-01,2018-12-31,10.17190/AMF/1246113,AMF_US-Whs_BASE_HH_12-5.csv
kendall,US-Wkg,31.7365,-109.9419,1531,GR,15.64,407,225,6.4,0.3,0.5,0.94,2008-01-01,2018-12-31,10.17190/AMF/1246112,AMF_US-Wkg_BASE_HH_13-5.csv
windriver,US-Wrc,45.8205,-121.9519,371,EN,8.8,2452,315,70,60,60,0.95,2013-01-01,2015-12-31,,
