Site,sw_in,sw_out,lw_in,lw_out,netrad,H,LE,t_air,precip,pressure,wind_speed,wind_speed_2,wind_direction,ustar,ZL,zr
CA-TP4,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD_1_1_1,H,LE,TA_1_1_1,P_PI_F,PA,WS,NA,WD,USTAR,NA,NA
US-Bi1,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,H,NA,TA,P,PA,WS,NA,WD,USTAR,ZL,NA
US-Ho1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_2_1_1,LW_OUT_2_1_1,NETRAD_1_1_1,H_1_1_1,LE_1_1_1,TA_PI_1_1_A,P_RAIN_1_1_1,PA_1_1_1,WS_1_1_1,NA,WD_1_1_1,USTAR_1_1_1,NA,NA
US-Me2,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,H,LE,TA_1_1_1,P,PA,WS,NA,WD,USTAR,NA,NA
US-Me6,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,H,LE,TA_1_1_2,P,PA,WS,NA,WD,USTAR,NA,NA
US-MMS,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_1,H_1_1_1,LE_1_1_1,TA_1_1_1,P_1_1_1,PA_1_1_1,WS_1_1_1,WS_1_2_1,WD_1_1_1,USTAR_1_1_1,NA,NA
US-MOz,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,H,LE,TA,P,PA,WS,NA,WD,USTAR,NA,NA
US-Mpj,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,H,LE,TA,P,PA,WS,NA,WD,USTAR,NA,NA
US-Ne1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_1,H_1_1_1,NA,TA_1_1_1,P_PI_F_1_1_1,PA_PI_F_1_1_1,WS_1_1_1,NA,WD_1_1_1,USTAR_1_1_1,ZL_PI_F_1_1_1,zr
US-Ne2,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_1,H_1_1_1,NA,TA_1_1_1,P_PI_F_1_1_1,PA_PI_F_1_1_1,WS_1_1_1,NA,WD_1_1_1,USTAR_1_1_1,ZL_PI_F_1_1_1,zr
US-Ne3,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_1,H_1_1_1,NA,TA_1_1_1,P_PI_F_1_1_1,PA_PI_F_1_1_1,WS_1_1_1,NA,WD_1_1_1,USTAR_1_1_1,ZL_PI_F_1_1_1,zr
US-NR1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NA,H_1_1_2,LE_1_1_1,TA_1_1_1,P_1_1_1,PA_1_1_1,WS_1_1_1,NA,WD_1_1_1,USTAR_1_1_1,ZL_1_1_1,NA
US-Ro4,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,H,LE,TA,P,PA,WS,NA,WD,USTAR,ZL,NA
US-Ses,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,H,LE,TA,P,PA,WS,NA,WD,USTAR,NA,NA
US-Syv,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_1,H_1_1_1,LE_1_1_1,TA_1_1_1,P_PI_F,PA_1_1_1,WS_1_1_1,WS_1_2_1,WD_1_1_1,USTAR_1_1_1,NA,NA
US-Ton,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_1,H_1_1_1,LE_1_1_1,TA_1_1_1,P,PA,WS_1_1_1,WS_1_2_1,WD_1_1_1,USTAR_1_1_1,ZL_1_1_1,NA
US-Tw3,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,H,NA,TA,P,PA,WS,NA,WD,USTAR,ZL,NA
US-UMB,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,H,LE,TA,P,PA,WS,NA,WD,USTAR,NA,NA
US-Var,SW_IN_1_1_1,SW_OUT,LW_IN,LW_OUT,NETRAD,H,LE,TA,P,PA,WS,NA,WD,USTAR,ZL,NA
US-WCr,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD_1_1_1,H_1_1_1,LE_1_1_1,TA_1_1_1,P_PI_F,PA_1_1_1,WS_1_1_1,WS_1_2_1,WD_1_1_1,USTAR_1_1_1,NA,NA
US-Whs,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,H,LE,TA_1_1_1,P,PA,WS_1_1_1,WS_1_2_1,WD_1_1_1,USTAR,NA,NA
US-Wkg,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,H,LE,TA_1_1_1,P,PA,WS_1_1_1,WS_1_2_1,WD_1_1_1,USTAR,NA,NA
US-Wrc,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,H,NA,TA,P,PA,WS,NA,WD,USTAR,NA,NA
